region,country,iso3,continent
AK,United States,USA,America
AL,United States,USA,America
AR,United States,USA,America
AS,United States,USA,America
AZ,United States,USA,America
Afghanistan,Afghanistan,AFG,Asia
Alabama,United States,USA,America
Aland Islands,Aland Islands,ALA,Europe
Alaska,United States,USA,America
Albania,Albania,ALB,Europe
Algeria,Algeria,DZA,Africa
American Samoa,United States,USA,America
Andorra,Andorra,AND,Europe
Angola,Angola,AGO,Africa
Anguilla,Anguilla,AIA,America
Antarctica,Antarctica,ATA,Antarctica
Antigua and Barbuda,Antigua and Barbuda,ATG,America
Argentina,Argentina,ARG,America
Arizona,United States,USA,America
Arkansas,United States,USA,America
Armenia,Armenia,ARM,Asia
Aruba,Aruba,ABW,America
Australia,Australia,AUS,Oceania
Austria,Austria,AUT,Europe
Azerbaijan,Azerbaijan,AZE,Asia
BOSNIA-HERZEGOVINA,Bosnia and Herzegovina,BIH,Europe
Bahamas,Bahamas,BHS,America
Bahrain,Bahrain,BHR,Asia
Bangladesh,Bangladesh,BGD,Asia
Barbados,Barbados,BRB,America
Belarus,Belarus,BLR,Europe
Belgium,Belgium,BEL,Europe
Belize,Belize,BLZ,America
Benin,Benin,BEN,Africa
Bermuda,Bermuda,BMU,America
Bhutan,Bhutan,BTN,Asia
Bolivia,Bolivia,BOL,America
"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",BES,America
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe
Botswana,Botswana,BWA,Africa
Bouvet Island,Bouvet Island,BVT,Antarctica
Brazil,Brazil,BRA,America
British Indian Ocean Territory,British Indian Ocean Territory,IOT,Africa
British Virgin Islands,British Virgin Islands,VGB,America
Brunei Darussalam,Brunei Darussalam,BRN,Asia
Bulgaria,Bulgaria,BGR,Europe
Burkina Faso,Burkina Faso,BFA,Africa
Burundi,Burundi,BDI,Africa
CA,United States,USA,America
CO,United States,USA,America
CT,United States,USA,America
CZECH REPUBLIC,Czechia,CZE,Europe
Cabo Verde,Cabo Verde,CPV,Africa
California,United States,USA,America
Cambodia,Cambodia,KHM,Asia
Cameroon,Cameroon,CMR,Africa
Canada,Canada,CAN,America
Cayman Islands,Cayman Islands,CYM,America
Central African Republic,Central African Republic,CAF,Africa
Chad,Chad,TCD,Africa
Chile,Chile,CHL,America
China,China,CHN,Asia
Christmas Island,Christmas Island,CXR,Asia
Cocos (Keeling) Islands,Cocos (Keeling) Islands,CCK,Asia
Colombia,Colombia,COL,America
Colorado,United States,USA,America
Comoros,Comoros,COM,Africa
Congo Republic,Congo Republic,COG,Africa
Connecticut,United States,USA,America
Cook Islands,Cook Islands,COK,Oceania
Costa Rica,Costa Rica,CRI,America
Cote d'Ivoire,Cote d'Ivoire,CIV,Africa
Croatia,Croatia,HRV,Europe
Cuba,Cuba,CUB,America
Curacao,Curacao,CUW,America
Cyprus,Cyprus,CYP,Asia
Czechia,Czechia,CZE,Europe
DC,United States,USA,America
DE,United States,USA,America
DR Congo,DR Congo,COD,Africa
Delaware,United States,USA,America
Denmark,Denmark,DNK,Europe
District of Columbia,United States,USA,America
Djibouti,Djibouti,DJI,Africa
Dominica,Dominica,DMA,America
Dominican Republic,Dominican Republic,DOM,America
Ecuador,Ecuador,ECU,America
Egypt,Egypt,EGY,Africa
El Salvador,El Salvador,SLV,America
Equatorial Guinea,Equatorial Guinea,GNQ,Africa
Eritrea,Eritrea,ERI,Africa
Estonia,Estonia,EST,Europe
Eswatini,Eswatini,SWZ,Africa
Ethiopia,Ethiopia,ETH,Africa
FL,United States,USA,America
Falkland Islands,Falkland Islands,FLK,America
Faroe Islands,Faroe Islands,FRO,Europe
Fiji,Fiji,FJI,Oceania
Finland,Finland,FIN,Europe
Florida,United States,USA,America
France,France,FRA,Europe
French Guiana,French Guiana,GUF,America
French Polynesia,French Polynesia,PYF,Oceania
French Southern Territories,French Southern Territories,ATF,Africa
GA,United States,USA,America
GU,United States,USA,America
Gabon,Gabon,GAB,Africa
Gambia,Gambia,GMB,Africa
Georgia,United States,USA,America
Germany,Germany,DEU,Europe
Ghana,Ghana,GHA,Africa
Gibraltar,Gibraltar,GIB,Europe
Greece,Greece,GRC,Europe
Greenland,Greenland,GRL,America
Grenada,Grenada,GRD,America
Guadeloupe,Guadeloupe,GLP,America
Guam,United States,USA,America
Guatemala,Guatemala,GTM,America
Guernsey,Guernsey,GGY,Europe
Guinea,Guinea,GIN,Africa
Guinea-Bissau,Guinea-Bissau,GNB,Africa
Guyana,Guyana,GUY,America
HI,United States,USA,America
Haiti,Haiti,HTI,America
Hawaii,United States,USA,America
Heard and McDonald Islands,Heard and McDonald Islands,HMD,Antarctica
Honduras,Honduras,HND,America
Hong Kong,Hong Kong,HKG,Asia
Hungary,Hungary,HUN,Europe
IA,United States,USA,America
ID,United States,USA,America
IL,United States,USA,America
IN,United States,USA,America
Iceland,Iceland,ISL,Europe
Idaho,United States,USA,America
Illinois,United States,USA,America
India,India,IND,Asia
Indiana,United States,USA,America
Indonesia,Indonesia,IDN,Asia
Iowa,United States,USA,America
Iran,Iran,IRN,Asia
Iraq,Iraq,IRQ,Asia
Ireland,Ireland,IRL,Europe
Isle of Man,Isle of Man,IMN,Europe
Israel,Israel,ISR,Asia
Italy,Italy,ITA,Europe
